"","node","taxon_in_common","taxa_on_left","taxa_on_right","alpha_hat"
"g__Bifidobacterium",12,"Bifidobacterium","unclassified, longum, bifidum","adolescentis",-1.76087564827211
"k__Bacteria",16,"Bacteria","Firmicutes","Bacteroidetes",-1.10567886247324
"o__Clostridiales",19,"Clostridiales","Lachnospiraceae, Veillonellaceae","Ruminococcaceae",-1.35349937347913
"g__Coprococcus",41,"Coprococcus","182289","4425669",1.66188311158715
"s__dispar",49,"dispar","4453501","4422456, 4388775",2.14044419933402
