"","node","taxon_in_common","taxa_on_left","taxa_on_right","alpha_hat"
"1",4,"Proteobacteria","Gammaproteobacteria","Betaproteobacteria",1.13900791351236
"2",9,"Sutterella","178885","4449236, 1820513",5.13099000180067
"3",20,"Clostridiales","Lachnospiraceae","Veillonellaceae",1.77316773748398
"4",60,"Clostridiales","unclassified","Clostridiaceae",1.0665429364134
